x, y, label
3,90,1
6,79,1
8,91,1
3,92,1
2,51,1
5,40,1
9,91,1
9,82,1
2,61,1
7,94,1
1,52,1
7,56,1
6,46,1
6,56,1
6,65,1
3,93,1
6,32,1
6,87,1
5,82,1
5,43,1
6,47,1
1,94,1
9,63,1
1,65,1
3,57,1
9,43,1
7,75,1
6,66,1
6,60,1
2,33,1
9,68,1
1,95,1
2,53,1
4,59,1
4,85,1
5,43,1
2,82,1
6,52,1
7,73,1
8,58,1
7,37,1
6,88,1
3,47,1
3,95,1
4,76,1
1,92,1
6,63,1
1,47,1
9,46,1
5,44,1
4,36,1
7,34,1
8,32,1
4,39,1
2,64,1
4,43,1
6,58,1
9,75,1
2,64,1
8,95,1
3,34,1
2,47,1
6,59,1
9,38,1
6,82,1
6,88,1
8,91,1
8,70,1
6,51,1
8,89,1
4,72,1
1,93,1
9,58,1
8,70,1
8,51,1
1,40,1
5,81,1
2,32,1
9,52,1
6,76,1
4,86,1
8,60,1
8,92,1
6,50,1
3,49,1
6,53,1
4,50,1
5,38,1
9,83,1
7,35,1
1,63,1
9,57,1
8,95,1
9,60,1
8,47,1
1,90,1
2,53,1
7,83,1
1,44,1
1,64,1
2,45,1
3,52,1
5,44,1
8,69,1
1,94,1
5,71,1
9,51,1
8,39,1
3,36,1
7,88,1
5,52,1
9,55,1
4,82,1
9,84,1
8,86,1
8,92,1
8,92,1
9,54,1
7,53,1
8,83,1
8,85,1
5,56,1
3,43,1
1,83,1
7,34,1
5,79,1
9,60,1
3,59,1
6,86,1
6,61,1
8,70,1
1,60,1
3,67,1
8,74,1
9,80,1
1,87,1
5,57,1
2,37,1
3,67,1
1,68,1
7,42,1
5,93,1
9,86,1
3,74,1
9,56,1
7,88,1
1,67,1
7,91,1
7,80,1
4,73,1
3,47,1
3,48,1
6,40,1
5,76,1
6,59,1
5,78,1
4,63,1
6,33,1
1,85,1
3,38,1
9,89,1
3,69,1
4,68,1
1,70,1
5,66,1
1,63,1
1,97,1
4,66,1
6,93,1
8,75,1
6,35,1
