Dataset: data_banknote
Ephocs, Test, Train, Result Accurancy
1, 50, 50, 66.39941690962098
1, 80, 80, 68.14868804664724
1, 100, 100, 67.34693877551021
1, 120, 120, 67.56559766763849
1, 150, 150, 67.71137026239066
1, 200, 200, 68.07580174927114
1, 300, 300, 68.36734693877551
1, 400, 400, 68.58600583090379
1, 600, 600, 68.73177842565597
2, 50, 50, 66.61807580174927
2, 80, 80, 68.29446064139941
2, 100, 100, 67.20116618075801
2, 120, 120, 67.63848396501459
2, 150, 150, 67.71137026239066
2, 200, 200, 68.65889212827989
2, 300, 300, 68.22157434402332
2, 400, 400, 68.51311953352769
2, 600, 600, 68.87755102040816
3, 50, 50, 66.1807580174927
3, 80, 80, 68.22157434402332
3, 100, 100, 67.63848396501459
3, 120, 120, 67.71137026239066
3, 150, 150, 67.56559766763849
3, 200, 200, 68.73177842565597
3, 300, 300, 68.44023323615161
3, 400, 400, 68.51311953352769
3, 600, 600, 68.80466472303208
5, 50, 50, 65.88921282798833
5, 80, 80, 68.29446064139941
5, 100, 100, 68.00291545189505
5, 120, 120, 67.63848396501459
5, 150, 150, 67.78425655976676
5, 200, 200, 69.16909620991254
5, 300, 300, 68.65889212827989
5, 400, 400, 68.73177842565597
5, 600, 600, 68.65889212827989
7, 50, 50, 65.88921282798833
7, 80, 80, 68.44023323615161
7, 100, 100, 68.22157434402332
7, 120, 120, 67.71137026239066
7, 150, 150, 67.85714285714286
7, 200, 200, 69.16909620991254
7, 300, 300, 68.80466472303208
7, 400, 400, 68.73177842565597
7, 600, 600, 69.02332361516035
10, 50, 50, 65.88921282798833
10, 80, 80, 68.51311953352769
10, 100, 100, 68.51311953352769
10, 120, 120, 68.00291545189505
10, 150, 150, 67.78425655976676
10, 200, 200, 69.09620991253644
10, 300, 300, 68.87755102040816
10, 400, 400, 68.80466472303208
10, 600, 600, 69.16909620991254
