Dataset: data_occupancy
Ephocs, Test, Train, Result Accurancy
1, 50, 50, 66.39941690962098
1, 80, 80, 68.14868804664724
1, 100, 100, 67.34693877551021
1, 120, 120, 67.56559766763849
1, 150, 150, 67.71137026239066
1, 200, 200, 68.07580174927114
1, 300, 300, 68.36734693877551
1, 400, 400, 68.58600583090379
1, 600, 600, 68.73177842565597
2, 50, 50, 66.61807580174927
2, 80, 80, 68.29446064139941
2, 100, 100, 67.20116618075801
2, 120, 120, 67.63848396501459
2, 150, 150, 67.71137026239066
2, 200, 200, 68.65889212827989
2, 300, 300, 68.22157434402332
2, 400, 400, 68.51311953352769
2, 600, 600, 68.87755102040816
3, 50, 50, 66.1807580174927
3, 80, 80, 68.22157434402332
3, 100, 100, 67.63848396501459
3, 120, 120, 67.71137026239066
3, 150, 150, 67.56559766763849
3, 200, 200, 68.73177842565597
3, 300, 300, 68.44023323615161
3, 400, 400, 68.51311953352769
3, 600, 600, 68.80466472303208
5, 50, 50, 65.88921282798833
5, 80, 80, 68.29446064139941
5, 100, 100, 68.00291545189505
5, 120, 120, 67.63848396501459
5, 150, 150, 67.78425655976676
5, 200, 200, 69.16909620991254
5, 300, 300, 68.65889212827989
5, 400, 400, 68.73177842565597
5, 600, 600, 68.65889212827989
7, 50, 50, 65.88921282798833
7, 80, 80, 68.44023323615161
7, 100, 100, 68.22157434402332
7, 120, 120, 67.71137026239066
7, 150, 150, 67.85714285714286
7, 200, 200, 69.16909620991254
7, 300, 300, 68.80466472303208
7, 400, 400, 68.73177842565597
7, 600, 600, 69.02332361516035
10, 50, 50, 65.88921282798833
10, 80, 80, 68.51311953352769
10, 100, 100, 68.51311953352769
10, 120, 120, 68.00291545189505
10, 150, 150, 67.78425655976676
10, 200, 200, 69.09620991253644
10, 300, 300, 68.87755102040816
10, 400, 400, 68.80466472303208
10, 600, 600, 69.16909620991254
1, 50, 50, 36.47279549718574
1, 80, 80, 91.40712945590994
1, 100, 100, 70.2439024390244
1, 120, 120, 63.789868667917446
1, 150, 150, 63.63977485928706
1, 200, 200, 63.56472795497186
1, 300, 300, 63.52720450281426
1, 400, 400, 63.52720450281426
1, 600, 600, 63.52720450281426
2, 50, 50, 36.47279549718574
2, 80, 80, 97.89868667917449
2, 100, 100, 89.64352720450282
2, 120, 120, 81.87617260787992
2, 150, 150, 77.67354596622889
2, 200, 200, 77.44840525328331
2, 300, 300, 90.65666041275797
2, 400, 400, 97.89868667917449
2, 600, 600, 97.07317073170732
3, 50, 50, 36.47279549718574
3, 80, 80, 97.89868667917449
3, 100, 100, 97.22326454033771
3, 120, 120, 92.04502814258912
3, 150, 150, 91.96998123827392
3, 200, 200, 97.89868667917449
3, 300, 300, 97.07317073170732
3, 400, 400, 36.47279549718574
3, 600, 600, 36.47279549718574
5, 50, 50, 97.07317073170732
5, 80, 80, 97.89868667917449
5, 100, 100, 97.89868667917449
5, 120, 120, 97.89868667917449
5, 150, 150, 97.89868667917449
5, 200, 200, 97.11069418386492
5, 300, 300, 36.47279549718574
5, 400, 400, 36.47279549718574
5, 600, 600, 36.47279549718574
7, 50, 50, 97.07317073170732
7, 80, 80, 97.89868667917449
7, 100, 100, 97.89868667917449
7, 120, 120, 97.89868667917449
7, 150, 150, 97.11069418386492
7, 200, 200, 97.07317073170732
7, 300, 300, 36.47279549718574
7, 400, 400, 36.47279549718574
7, 600, 600, 36.47279549718574
10, 50, 50, 97.07317073170732
10, 80, 80, 97.86116322701689
10, 100, 100, 97.89868667917449
10, 120, 120, 97.4108818011257
10, 150, 150, 97.11069418386492
10, 200, 200, 97.07317073170732
10, 300, 300, 36.47279549718574
10, 400, 400, 36.47279549718574
10, 600, 600, 36.47279549718574
