data_banknote,Perceptron,[Train=500,Validation=250]
Ephocs, Accurancy val, Time
1, 98.8, 0.001995563507080078
10, 99.2, 0.009482860565185547
20, 92.4, 0.017966032028198242
30, 94.0, 0.0269317626953125
40, 96.4, 0.03545331954956055
50, 98.0, 0.04341888427734375
60, 99.6, 0.05587911605834961
70, 99.2, 0.0619044303894043
80, 98.0, 0.0693511962890625
90, 98.0, 0.07685708999633789
100, 98.0, 0.08484101295471191
150, 98.8, 0.1262669563293457
200, 99.6, 0.16618967056274414
250, 99.6, 0.20511889457702637
300, 99.2, 0.24953770637512207
350, 99.2, 0.29247379302978516
400, 99.2, 0.3333621025085449
