htru_2,Perceptron,[Train=500,Validation=250]
Ephocs, Accurancy val, Time
1, 96.4, 0.001996278762817383
10, 97.2, 0.010498046875
20, 63.2, 0.01946425437927246
30, 96.8, 0.03192281723022461
40, 96.0, 0.03841042518615723
50, 96.8, 0.05090618133544922
60, 54.8, 0.05739307403564453
70, 95.2, 0.06639385223388672
80, 72.0, 0.07334613800048828
90, 75.6, 0.08236432075500488
100, 96.8, 0.09131288528442383
150, 96.4, 0.1327533721923828
200, 81.2, 0.1821613311767578
250, 92.0, 0.2255992889404297
300, 96.0, 0.26849985122680664
350, 91.2, 0.3148965835571289
400, 95.6, 0.35683631896972656
