simple_separable,Perceptron,[Train=500,Validation=250]
Ephocs, Accurancy val, Time
1, 100.0, 0.0014972686767578125
10, 100.0, 0.00898289680480957
20, 100.0, 0.01645040512084961
30, 100.0, 0.02497267723083496
40, 100.0, 0.0354161262512207
50, 100.0, 0.04743027687072754
60, 100.0, 0.054879188537597656
70, 100.0, 0.057412147521972656
80, 100.0, 0.06537866592407227
90, 100.0, 0.07384371757507324
100, 100.0, 0.08434462547302246
150, 100.0, 0.12027668952941895
200, 100.0, 0.15822291374206543
250, 100.0, 0.19813227653503418
300, 100.0, 0.2470405101776123
350, 100.0, 0.2809782028198242
400, 100.0, 0.32290053367614746
