Dataset: cmcPerceptronSimple
Ephocs, Test, Train, Accurancy, Time
1, 50, 962, 34.61538461538461, 0.0
1, 80, 962, 34.61538461538461, 0.0
1, 100, 962, 34.61538461538461, 0.0
1, 150, 962, 34.61538461538461, 0.0
1, 200, 962, 34.61538461538461, 0.0
1, 300, 962, 34.61538461538461, 0.0
3, 50, 962, 34.61538461538461, 0.0
3, 80, 962, 34.61538461538461, 0.015606403350830078
3, 100, 962, 34.61538461538461, 0.015627384185791016
3, 150, 962, 34.61538461538461, 0.015641450881958008
3, 200, 962, 34.61538461538461, 0.015609264373779297
3, 300, 962, 34.61538461538461, 0.015622854232788086
5, 50, 962, 34.61538461538461, 0.0
5, 80, 962, 34.61538461538461, 0.0
5, 100, 962, 34.61538461538461, 0.0
5, 150, 962, 34.61538461538461, 0.0
5, 200, 962, 34.61538461538461, 0.0
5, 300, 962, 34.61538461538461, 0.0
7, 50, 962, 34.61538461538461, 0.0
7, 80, 962, 34.61538461538461, 0.0
7, 100, 962, 34.61538461538461, 0.0
7, 150, 962, 34.61538461538461, 0.0
7, 200, 962, 34.61538461538461, 0.0
7, 300, 962, 34.61538461538461, 0.01562643051147461
10, 50, 962, 34.61538461538461, 0.0
10, 80, 962, 34.61538461538461, 0.0
10, 100, 962, 34.61538461538461, 0.0
10, 150, 962, 34.61538461538461, 0.0
10, 200, 962, 34.61538461538461, 0.015623092651367188
10, 300, 962, 34.61538461538461, 0.015627145767211914
15, 50, 962, 34.61538461538461, 0.01564192771911621
15, 80, 962, 34.61538461538461, 0.015608787536621094
15, 100, 962, 34.61538461538461, 0.015625
15, 150, 962, 34.61538461538461, 0.0156252384185791
15, 200, 962, 34.61538461538461, 0.0
15, 300, 962, 34.61538461538461, 0.015624046325683594
20, 50, 962, 34.61538461538461, 0.015624523162841797
20, 80, 962, 34.61538461538461, 0.015625
20, 100, 962, 34.61538461538461, 0.015627622604370117
20, 150, 962, 34.61538461538461, 0.015622854232788086
20, 200, 962, 34.61538461538461, 0.0
20, 300, 962, 34.61538461538461, 0.0156252384185791

Best:
Ephocs, Test, Train, Accurancy, Time
1,50,962,962,0.0
