Dataset: diseased_treesPerceptronSimple
Ephocs, Test, Train, Accurancy, Time
1, 50, 1074, 6.890130353817497, 0.015625
1, 80, 1074, 6.890130353817497, 0.01562666893005371
1, 100, 1074, 6.890130353817497, 0.015623092651367188
1, 150, 1074, 6.890130353817497, 0.0
1, 200, 1074, 6.890130353817497, 0.0
1, 300, 1074, 6.890130353817497, 0.0
3, 50, 1074, 6.890130353817497, 0.0
3, 80, 1074, 6.890130353817497, 0.0
3, 100, 1074, 6.890130353817497, 0.0
3, 150, 1074, 6.890130353817497, 0.0
3, 200, 1074, 6.890130353817497, 0.0
3, 300, 1074, 6.890130353817497, 0.0
5, 50, 1074, 6.890130353817497, 0.0
5, 80, 1074, 6.890130353817497, 0.0
5, 100, 1074, 30.91247672253259, 0.015642404556274414
5, 150, 1074, 6.890130353817497, 0.015607833862304688
5, 200, 1074, 6.983240223463682, 0.0
5, 300, 1074, 6.890130353817497, 0.0
7, 50, 1074, 6.890130353817497, 0.0
7, 80, 1074, 6.890130353817497, 0.0
7, 100, 1074, 7.541899441340789, 0.0
7, 150, 1074, 6.890130353817497, 0.015625
7, 200, 1074, 6.890130353817497, 0.015625
7, 300, 1074, 6.890130353817497, 0.0
10, 50, 1074, 19.73929236499069, 0.0
10, 80, 1074, 7.169459962756051, 0.0
10, 100, 1074, 6.890130353817497, 0.015625715255737305
10, 150, 1074, 6.890130353817497, 0.015642642974853516
10, 200, 1074, 6.890130353817497, 0.0
10, 300, 1074, 69.45996275605214, 0.015625476837158203
15, 50, 1074, 6.890130353817497, 0.0
15, 80, 1074, 9.683426443202976, 0.0
15, 100, 1074, 6.890130353817497, 0.0
15, 150, 1074, 6.983240223463682, 0.015608072280883789
15, 200, 1074, 6.890130353817497, 0.015624761581420898
15, 300, 1074, 71.50837988826817, 0.01562643051147461
20, 50, 1074, 16.10800744878958, 0.0
20, 80, 1074, 6.890130353817497, 0.0
20, 100, 1074, 6.890130353817497, 0.015594244003295898
20, 150, 1074, 6.983240223463682, 0.0
20, 200, 1074, 73.18435754189944, 0.015608072280883789
20, 300, 1074, 6.983240223463682, 0.015625715255737305

Best:
Ephocs, Test, Train, Accurancy, Time
20,200,1074,1074,0.015608072280883789
