Dataset: htru_2PerceptronSimple
Ephocs, Test, Train, Accurancy, Time
1, 50, 2000, 50.0, 0.015642404556274414
1, 80, 2000, 50.0, 0.0156252384185791
1, 100, 2000, 50.0, 0.015646696090698242
1, 150, 2000, 50.0, 0.0
1, 200, 2000, 50.85, 0.015625
1, 300, 2000, 50.0, 0.015608787536621094
3, 50, 2000, 50.0, 0.0
3, 80, 2000, 50.0, 0.0
3, 100, 2000, 51.9, 0.0
3, 150, 2000, 51.9, 0.0
3, 200, 2000, 50.0, 0.0
3, 300, 2000, 50.0, 0.015607595443725586
5, 50, 2000, 50.0, 0.0
5, 80, 2000, 50.0, 0.0
5, 100, 2000, 50.0, 0.0
5, 150, 2000, 50.0, 0.0
5, 200, 2000, 50.05, 0.0
5, 300, 2000, 50.0, 0.01564478874206543
7, 50, 2000, 50.35, 0.0
7, 80, 2000, 50.35, 0.0
7, 100, 2000, 50.3, 0.0
7, 150, 2000, 50.0, 0.0
7, 200, 2000, 50.0, 0.0
7, 300, 2000, 50.0, 0.015625715255737305
10, 50, 2000, 72.75, 0.015628337860107422
10, 80, 2000, 50.4, 0.015625953674316406
10, 100, 2000, 50.0, 0.015604972839355469
10, 150, 2000, 50.0, 0.015625953674316406
10, 200, 2000, 65.9, 0.0
10, 300, 2000, 56.7, 0.0
15, 50, 2000, 50.0, 0.015624523162841797
15, 80, 2000, 53.5, 0.015625715255737305
15, 100, 2000, 50.0, 0.015642166137695312
15, 150, 2000, 50.0, 0.01562356948852539
15, 200, 2000, 50.0, 0.015642881393432617
15, 300, 2000, 50.0, 0.015623331069946289
20, 50, 2000, 50.45, 0.01562643051147461
20, 80, 2000, 50.0, 0.015642166137695312
20, 100, 2000, 50.0, 0.015625715255737305
20, 150, 2000, 69.05, 0.015609264373779297
20, 200, 2000, 50.0, 0.0
20, 300, 2000, 50.0, 0.015607595443725586

Best:
Ephocs, Test, Train, Accurancy, Time
10,50,2000,2000,0.015628337860107422
