Dataset: irisPerceptronSimple
Ephocs, Test, Train, Accurancy, Time
1, 50, 150, 66.66666666666667, 0.0
1, 80, 150, 66.66666666666667, 0.0
1, 100, 150, 66.66666666666667, 0.01564311981201172
1, 125, 150, 66.66666666666667, 0.0
1, 150, 150, 66.66666666666667, 0.0
1, 150, 150, 66.66666666666667, 0.0
3, 50, 150, 66.66666666666667, 0.0
3, 80, 150, 66.66666666666667, 0.0
3, 100, 150, 66.66666666666667, 0.0
3, 125, 150, 66.66666666666667, 0.0
3, 150, 150, 66.66666666666667, 0.0
3, 150, 150, 66.66666666666667, 0.0
5, 50, 150, 100.0, 0.0
5, 80, 150, 100.0, 0.0
5, 100, 150, 100.0, 0.0
5, 125, 150, 100.0, 0.0
5, 150, 150, 100.0, 0.0
5, 150, 150, 100.0, 0.0
7, 50, 150, 100.0, 0.0
7, 80, 150, 100.0, 0.0
7, 100, 150, 100.0, 0.0
7, 125, 150, 100.0, 0.0
7, 150, 150, 100.0, 0.0
7, 150, 150, 100.0, 0.0
10, 50, 150, 100.0, 0.0
10, 80, 150, 100.0, 0.0
10, 100, 150, 100.0, 0.0
10, 125, 150, 100.0, 0.01562786102294922
10, 150, 150, 100.0, 0.0
10, 150, 150, 100.0, 0.0
15, 50, 150, 100.0, 0.0
15, 80, 150, 100.0, 0.0
15, 100, 150, 100.0, 0.0
15, 125, 150, 100.0, 0.0
15, 150, 150, 100.0, 0.015642642974853516
15, 150, 150, 100.0, 0.0
20, 50, 150, 100.0, 0.0
20, 80, 150, 100.0, 0.015607595443725586
20, 100, 150, 100.0, 0.0
20, 125, 150, 100.0, 0.0
20, 150, 150, 100.0, 0.0
20, 150, 150, 100.0, 0.0

Best:
Ephocs, Test, Train, Accurancy, Time
5,50,150,150,0.0
