data_banknote, PerceptronSimple [Train=500, Validation=500]
Ephocs, Accurancy, Time
1, 99.0, 0.003002166748046875
3, 96.8, 0.005004405975341797
4, 99.0, 0.005503416061401367
7, 97.0, 0.008006095886230469
10, 98.8, 0.011007547378540039
14, 96.2, 0.014510154724121094
18, 94.4, 0.017493486404418945
20, 92.8, 0.019513845443725586
25, 96.8, 0.02301645278930664
30, 95.0, 0.02751946449279785
50, 98.0, 0.04505205154418945
70, 98.8, 0.06654906272888184
90, 98.0, 0.08456039428710938
100, 98.0, 0.08804130554199219
