data_occupancy, PerceptronSimple [Train=500, Validation=500]
Ephocs, Accurancy, Time
1, 92.0, 0.0030019283294677734
3, 90.8, 0.005504131317138672
4, 83.2, 0.007505655288696289
7, 94.0, 0.009506464004516602
10, 93.4, 0.012509346008300781
14, 87.4, 0.016011714935302734
18, 83.2, 0.020034074783325195
20, 71.4, 0.021997451782226562
25, 88.6, 0.027017593383789062
30, 92.2, 0.031522274017333984
50, 93.4, 0.052037954330444336
70, 86.2, 0.0775766372680664
90, 97.8, 0.0975484848022461
100, 94.4, 0.1010732650756836
