diseased_trees, PerceptronSimple [Train=500, Validation=500]
Ephocs, Accurancy, Time
1, 94.4, 0.003002643585205078
3, 94.4, 0.005002737045288086
4, 93.4, 0.0055043697357177734
7, 94.4, 0.009006738662719727
10, 94.4, 0.012008190155029297
14, 94.4, 0.015511035919189453
18, 94.4, 0.020014286041259766
20, 94.4, 0.021515369415283203
25, 94.4, 0.026018381118774414
30, 94.0, 0.035005807876586914
50, 94.2, 0.055040836334228516
70, 94.0, 0.07307195663452148
90, 94.4, 0.0905616283416748
100, 94.4, 0.09955263137817383
