htru_2, PerceptronSimple [Train=500, Validation=500]
Ephocs, Accurancy, Time
1, 96.2, 0.0035173892974853516
3, 81.4, 0.004503011703491211
4, 94.4, 0.0055081844329833984
7, 89.2, 0.008505582809448242
10, 97.2, 0.01100778579711914
14, 97.4, 0.014510869979858398
18, 66.0, 0.018012523651123047
20, 65.0, 0.020014286041259766
25, 97.6, 0.024498701095581055
30, 97.0, 0.02902054786682129
50, 96.6, 0.04703521728515625
70, 95.2, 0.06804800033569336
90, 76.6, 0.0895833969116211
100, 97.2, 0.09354758262634277
