simple_separable, PerceptronSimple [Train=500, Validation=500]
Ephocs, Accurancy, Time
1, 100.0, 0.003001689910888672
3, 100.0, 0.006003379821777344
4, 100.0, 0.007505893707275391
7, 100.0, 0.009507179260253906
10, 100.0, 0.014509439468383789
14, 100.0, 0.017012357711791992
18, 100.0, 0.016511917114257812
20, 100.0, 0.01801300048828125
25, 100.0, 0.02201700210571289
30, 100.0, 0.03702545166015625
50, 100.0, 0.04503202438354492
70, 100.0, 0.06304574012756348
90, 100.0, 0.07557106018066406
100, 100.0, 0.0840606689453125
