data_banknote,PerceptronVoted,[Train=500,Validation=250]
Ephocs, Accurancy val, Time
1, 97.2, 0.030462265014648438
10, 99.6, 0.15321564674377441
20, 99.6, 0.2575039863586426
30, 99.2, 0.35735416412353516
40, 99.2, 0.46262049674987793
50, 99.2, 0.5604777336120605
60, 99.2, 0.6542844772338867
70, 99.2, 0.734635591506958
80, 99.2, 0.8139693737030029
90, 99.2, 0.8823778629302979
100, 99.2, 0.9417309761047363
150, 99.2, 1.2711572647094727
200, 99.2, 1.57954740524292
250, 99.2, 1.9054591655731201
300, 99.2, 2.2198922634124756
350, 99.2, 2.531297206878662
400, 99.2, 2.8357315063476562
