Dataset: data_occupancy
Algorithm used: PerceptronVoted
Ephocs, Test, Train, Accurancy, Time
1, 50, 2000, 50.0, 0.26562929153442383
1, 80, 2000, 50.0, 0.42188048362731934
1, 100, 2000, 50.0, 0.5312576293945312
1, 150, 2000, 50.0, 0.7812790870666504
1, 200, 2000, 50.0, 1.078122615814209
1, 300, 2000, 50.0, 1.562523603439331
3, 50, 2000, 50.0, 0.7656357288360596
3, 80, 2000, 50.0, 1.234375238418579
3, 100, 2000, 50.0, 1.812525749206543
3, 150, 2000, 50.0, 2.343803644180298
3, 200, 2000, 50.0, 3.109438419342041
3, 300, 2000, 50.0, 4.703176975250244
5, 50, 2000, 50.0, 1.29689359664917
5, 80, 2000, 50.0, 2.078155517578125
5, 100, 2000, 50.0, 2.593787431716919
5, 150, 2000, 50.0, 3.890684127807617
5, 200, 2000, 50.0, 5.203219413757324
5, 300, 2000, 50.0, 7.828241586685181
7, 50, 2000, 50.0, 1.8125460147857666
7, 80, 2000, 50.0, 2.906275749206543
7, 100, 2000, 50.0, 3.6406967639923096
7, 150, 2000, 50.0, 5.484456539154053
7, 200, 2000, 50.0, 7.281339883804321
7, 300, 2000, 50.0, 11.468919515609741
10, 50, 2000, 50.0, 2.6563057899475098
10, 80, 2000, 50.0, 4.171936511993408
10, 100, 2000, 50.0, 5.2813286781311035
10, 150, 2000, 50.0, 7.796973705291748
10, 200, 2000, 50.0, 10.4064040184021
10, 300, 2000, 50.0, 15.640875577926636
15, 50, 2000, 50.0, 3.8906660079956055
15, 80, 2000, 50.0, 6.296950101852417
15, 100, 2000, 50.0, 7.906385183334351
15, 150, 2000, 50.0, 11.687694072723389
15, 200, 2000, 50.0, 15.593966007232666
15, 300, 2000, 50.0, 23.422223806381226
20, 50, 2000, 50.0, 5.203222036361694
20, 80, 2000, 50.0, 8.328247308731079
20, 100, 2000, 50.0, 10.422030210494995
20, 150, 2000, 50.0, 15.56273365020752
20, 200, 2000, 50.0, 20.81279230117798
20, 300, 2000, 50.0, 31.219199895858765

Best:
Ephocs, Test, Train, Accurancy, Time
1,50,2000,2000,0.26562929153442383
