htru_2,PerceptronVoted,[Train=500,Validation=250]
Ephocs, Accurancy val, Time
1, 97.2, 0.03393888473510742
10, 96.8, 0.2500331401824951
20, 97.2, 0.4551732540130615
30, 96.8, 0.6732490062713623
40, 96.8, 0.879847526550293
50, 96.8, 1.0595293045043945
60, 96.8, 1.2925999164581299
70, 96.4, 1.4807467460632324
80, 96.4, 1.859546422958374
90, 96.0, 1.7627415657043457
100, 96.4, 2.009746551513672
150, 95.6, 2.8307411670684814
200, 95.2, 3.6776657104492188
250, 96.0, 4.476698160171509
300, 96.0, 5.387488126754761
350, 96.0, 6.1320884227752686
400, 96.0, 7.137734651565552
